,TITLE,DESCRIPTION,TRAVELER_ID
0,동부 우도·성산 중심 3일,공항 인근 맛집과 함덕·우도·성산 식도락 여행,h000001
1,제주시 애월·이호 맛집투어 2일,"애월·이호 카페와 식당, 해변 중심 미식 여행",h000008
2,제주시 중심 식도락 루트 4일,제주시·서귀포 맛집과 카페·박물관 위주 여행,h000009
3,제주 동서부 맛집·카페 루트 3일,"흑돼지·해산물 맛집과 애월 카페, 게스트하우스 숙박 중심 여행",h000010
4,제주 신화월드 중심 먹거리·테마 4일,신화월드 테마파크·워터파크와 맛집 위주의 일정,h000013
5,제주시 맛집·카페 중심 4일,제주시 내 식당·카페·바·해변 고루 즐기는 루트,h000014
6,제주시·서귀포 동서횡단 미식 3일,"제주시 연동·구좌, 협재·중문·표선 맛집 중심 여행",h000017
7,서부·애월 맛집 중심 4일,서귀포·애월 카페·식당과 해변 풍경 위주 일정,h000019
8,서부 서귀포·협재 중심 5일,신화월드·동물원·박물관과 서부 맛집·카페 위주 일정,h000020
9,제주 서귀포 맛집 중심 1일,서귀포 중심 카페·흑돼지 맛집 위주 코스,h000021
10,제주시 애월·한림 카페맛집 3일,애월·한림 카페와 식당 중심 힐링 여행,h000025
11,동부 우도·성산 위주 3일,우도 카페·해변과 성산 맛집 중심 동부 여행,h000028
12,제주시 도심·서부 맛집 루트 3일,"제주시 중심 맛집과 애월 카페·캠핑, 동부 식당 위주 여행",h000030
13,제주시 도심 먹거리 위주 2일,제주시내 공원·치킨·쌀국수·국수 맛집 루트,h000031
14,제주 동·서부 맛집 중심 4일,김녕·종달리·서귀포 맛집과 자연휴양림 코스,h000032
15,동부·남부 먹방 3일 루트,성산·남원·안덕 식당·카페·펜션 중심 여행,h000034
16,동부·애월·서귀포 맛집 투어 4일,함덕·성산·우도·애월·서귀포 중심 식도락 여행,h000037
17,동부 우도·성산·구좌 3일,우도·성산 맛집과 동부 카페·빵집 위주 루트,h000038
18,동부 맛집·카페 루트 3일,"구좌·성산 위주 맛집과 카페, 산책 여행",h000039
19,제주시·서귀포 맛집 중심 3일,버거·치킨·물회·갈비와 펜션 위주 식도락 여행,h000042
20,동부·중문 위주 5일 가족 여행,테마파크·호텔식·카페와 성산 해양 체험 중심,h000043
21,제주시·서귀포 맛집투어 4일,선상바베큐·분식·국수 등 현지 맛집 위주 여행,h000047
22,서귀포시 맛집·카페 루트 1일,서귀포시 식당·카페 중심의 미식 여행,h000049
23,동부 맛집·카페 3일 루트,제주시-성산-구좌 중심 맛집·빵집 위주의 소소한 미식 여행,h000051
24,동부·중문 위주 맛집투어 4일,"제주시 노형·우도, 서귀포 남원·표선·중문 맛집 중심 여행",h000052
